https://www.CryptoDataDownload.com,,,,,,,,,
Unix,datetime,Symbol,Open,High,Low,price,Volume ETH,Volume USDT,tradecount
1654732800000,2022-06-09,ETHUSDT,1791.88,1833,1777.33,1788.81,535310.9618,963245550.843159,528098
1654646400000,2022-06-08,ETHUSDT,1813.33,1838.77,1765.28,1791.88,941510.1373,1696874614.38435,820627
1654560000000,2022-06-07,ETHUSDT,1859.84,1874.98,1725.13,1813.33,1397598.2288,2491786694.53409,1225296
1654473600000,2022-06-06,ETHUSDT,1806.22,1920,1804.35,1859.84,804250.3567,1509754495.64725,817039
1654387200000,2022-06-05,ETHUSDT,1804.58,1830.17,1773.05,1806.23,371974.5061,670583716.956391,403935
1654300800000,2022-06-04,ETHUSDT,1775.13,1816,1748.43,1804.58,388279.4579,689062742.981284,402734
1654214400000,2022-06-03,ETHUSDT,1834.09,1843.91,1737,1775.12,741282.5346,1319239612.46291,807046
1654128000000,2022-06-02,ETHUSDT,1817.96,1853.05,1782.42,1834.08,788784.4017,1434781730.18475,793304
1654041600000,2022-06-01,ETHUSDT,1941.9,1972.58,1763.75,1817.95,1037841.2706,1954005475.23042,973159
1653955200000,2022-05-31,ETHUSDT,1998.78,2016.45,1925,1941.9,751103.4226,1477853073.76775,791367
1653868800000,2022-05-30,ETHUSDT,1813.64,2013,1803.18,1998.78,814922.8359,1557925971.04764,848129
1653782400000,2022-05-29,ETHUSDT,1792.21,1827.4,1759.96,1813.64,432430.611,776046677.057929,447003
1653696000000,2022-05-28,ETHUSDT,1727.26,1808.98,1722.26,1792.22,558271.1818,988074924.551089,645423
1653609600000,2022-05-27,ETHUSDT,1792.24,1822.26,1703,1727.27,1296693.28537,2284866824.03757,1226454
1653523200000,2022-05-26,ETHUSDT,1942.64,1966.01,1735,1792.23,1168740.57514,2157585473.51541,1124028
